# Pathway	VNF1S288	VNF2S289	VNF3S290	VNF4S291	VNF5S292	VTF1S293	VTF2S294	VTF3S295	VTF4S296	VTF5S297	VIF1S283	VIF2S284	VIF3S285	VIF4S286	VPF1S287	VPF2S288	VPF3S289	VPF4S290	VPF5S291	VNA1S233	VNA2S234	VNA3S235	VNA4S236	VNA5S237	VTA1S238	VTA2S239	VTA3S240	VTA4S241	VTA5S242	VIA1S243	VIA2S244	VIA3S245	VIA4S246	VIA5S247	VPA1S248	VPA2S249	VPA3S250	VPA4S251
season	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0.517316	1.22626	0	0	0.608017	0	0	0.125383	0	0	0.249677	0	0	0.555633	0.700393	0	0.189294	0	0	0	0.493684	0.31337	0	0	1.42436	0.470688	0.417708	1.11813	1.15233	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0.411293	0.411715	0.716861	0.439399	0	0.0474836	0.0474836	0	0	0	0.483179	0	0	0.361977	0.795467	0.795467	0.596286	0	0	0	0	0.306675	0	0	0.726978	0.410102	0	0.1852	0	0	0	0	0.890637	0	0	0	0	0
LEU-DEG2-PWY: L-leucine degradation I	0	0	0	0.86935	0	0	0	1.00401	0	0	0.399639	0	0	0	0.276849	0.276849	0	0	0.484002	0	0	0	0	0	0	0	0	0	0	0	0	0.844764	0	0	0	0	0	0
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	10.0309	0	7.8797	0	8.18968	8.18968	9.25763	9.09391	7.85429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	5.65058	5.65623	0	8.19571	3.97533	0.872626	0.872626	5.29285	2.42381	5.08695	5.36904	1.83738	4.23443	6.42163	4.60965	4.60965	10.7114	5.75095	4.54045	1.78463	2.88484	1.17189	0	1.39075	3.70282	2.73681	2.83538	2.34234	2.89104	1.14474	6.04944	4.85138	3.92388	2.08355	0	6.51842	0	1.3318
METHGLYUT-PWY: superpathway of methylglyoxal degradation	1.06012	1.06115	0	0.47545	0.566525	0	0	0	0	0.648417	0	0	0	0	0.456921	0.456921	0.209665	0	0	1.1258	0.459469	0	0	1.05869	0	0	0	0	0	0	0.485433	0	0	0	0	0	0	0
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation	1.36851	1.36991	1.21295	1.19552	1.03845	0.753311	0.753311	1.59072	1.80459	0.420897	1.59181	1.22758	1.64927	1.94768	1.49707	1.49707	2.39654	1.13466	1.49662	1.39138	0	0.445543	1.65426	1.20336	1.78343	0.886417	2.4301	1.3078	1.20071	1.41778	1.30414	0.957547	1.28794	1.28539	1.45372	1.15055	0.980259	1.02084
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	5.07322	5.0782	0	7.3897	3.52843	0.765934	0.765934	4.71614	2.14544	4.5446	4.7837	1.61892	3.76461	5.75678	4.09971	4.09971	9.7429	5.11921	4.04287	1.57289	2.55193	1.03155	0	1.22389	3.28727	2.42103	2.51216	2.07037	2.5553	1.00495	5.39836	4.31065	3.48759	1.83675	0	5.8353	0	1.17026
NADSYN-PWY: NAD de novo biosynthesis II (from tryptophan)	6.50922	6.51589	4.01388	6.70774	6.56856	6.36903	6.36903	5.23449	5.69034	5.9095	7.53153	3.4409	6.32957	6.80565	5.31075	5.31075	8.00059	8.35206	5.12991	3.50042	0	5.19727	0	5.47229	6.25305	6.38876	4.58721	4.01521	3.64299	4.09308	5.80858	5.91785	6.72109	6.19483	6.2758	6.15784	5.08121	5.47174
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	7.35114	7.35868	7.96966	10.185	8.74842	8.22347	8.22347	7.73926	9.72722	8.52546	9.51858	9.70392	8.00116	8.88121	7.67728	7.67728	8.41744	7.33522	8.41222	9.4778	10.4929	14.168	8.38317	9.99334	10.4236	10.8497	9.23076	7.57786	10.27	10.91	12.4909	11.6941	10.4368	12.6017	10.2956	12.5469	9.06098	8.07525
NONMEVIPP-PWY: methylerythritol phosphate pathway I	54.1053	54.1459	46.0847	58.3791	51.3926	55.9602	55.9602	48.9115	39.2366	53.4061	57.6527	40.2616	53.936	48.7704	54.2635	54.2635	58.2064	49.6127	49.606	36.2863	42.2015	26.8077	42.0235	26.9099	45.4079	46.8053	43.145	37.2656	50.2549	48.3761	49.0731	48.9593	46.865	44.39	48.2614	57.473	28.4341	55.2776
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	91.7605	91.741	91.9731	93.3578	93.0253	99.0484	99.0484	94.4052	93.2924	91.1889	116.02	96.7806	99.6585	95.1683	104.362	104.362	110.881	88.9832	97.4074	87.5179	82.946	90.1657	76.132	82.8333	91.4714	95.4564	86.3506	96.4816	105.632	89.4718	100.719	89.8859	100.092	96.7511	107.012	104.375	83.9435	103.089
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	41.1366	41.1785	40.6977	38.7127	37.9196	33.032	33.032	32.419	30.0606	35.4417	42.553	26.7222	36.4282	33.8811	36.9605	36.9605	42.0155	35.5463	34.5133	29.0324	30.2217	30.9217	27.858	30.0473	35.9072	30.9522	28.4304	29.2767	36.6224	33.5445	39.1112	34.2558	40.8019	34.4386	36.017	41.4691	26.4104	37.3627
ORNDEG-PWY: superpathway of ornithine degradation	12.1392	12.1516	8.86673	11.0197	9.27713	9.05099	9.05099	7.85683	9.29145	9.18397	7.61668	5.31276	6.98659	8.11976	5.46409	5.46409	8.16028	6.3538	6.56346	8.01512	7.59674	5.41634	5.17271	7.98097	9.60241	9.76492	8.66959	9.55565	8.70465	7.74037	9.82213	7.18749	7.12251	6.47681	9.25368	6.76113	7.3974	6.59475
P101-PWY: ectoine biosynthesis	0.151641	0.151797	0	0	1.43751	0	0	0	0	0	0.297418	0	0.282486	0.287003	0	0	0.383282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	43.119	43.0577	38.7276	44.7116	44.8393	40.327	40.327	39.1014	32.7438	36.3087	38.3362	29.2771	38.8289	43.6673	32.4907	32.4907	32.7832	39.1302	28.1157	33.1072	45.3419	37.9805	57.0067	46.0979	42.5205	43.7641	46.9109	46.1376	53.4309	59.9165	48.3368	58.4415	56.6991	59.5553	42.8986	39.4991	27.0634	40.0541
P108-PWY: pyruvate fermentation to propanoate I	16.4726	16.5916	25.8896	23.6953	15.6804	20.5739	20.5739	18.0818	19.5887	16.9468	26.8195	16.3352	23.2298	20.7838	24.0768	24.0768	17.2135	16.6891	21.8285	25.1823	23.9612	22.3952	22.7174	20.9443	19.9668	25.1036	14.7283	18.4091	20.101	19.7556	20.5369	17.0261	18.3739	20.964	20.5711	21.7308	17.0152	24.7393
P122-PWY: heterolactic fermentation	0	0	0	0	2.40925	0	0	0	0	2.91871	4.08731	0	0	3.51717	2.12097	2.12097	4.37671	2.31617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	12.5524	12.5646	10.808	11.4845	13.0419	9.03234	9.03234	9.65305	15.0712	13.1507	12.1059	10.8697	11.9314	13.2335	11.5642	11.5642	14.9907	11.5204	13.7994	11.809	11.5359	10.4094	7.04414	10.534	7.47496	10.4007	9.78627	13.4623	11.9143	10.6112	11.4185	10.1661	13.405	14.8023	14.8921	11.5251	9.84466	12.4337
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	3.30213	3.30551	3.01296	3.13298	2.07073	2.23257	2.23257	2.77339	2.05251	2.02111	2.05183	0.696093	2.19966	2.13897	1.96655	1.96655	2.3873	3.47985	2.45128	1.47217	3.62071	2.02964	1.94894	1.99152	3.09518	3.08013	3.42456	2.97425	2.85086	1.80795	2.54773	3.54637	3.06924	1.92298	3.21082	2.18306	2.01399	2.38731
P161-PWY: acetylene degradation (anaerobic)	21.0877	21.0667	21.0416	16.7316	23.1435	19.5172	19.5172	25.1848	15.7511	26.0054	19.7681	21.4552	22.5691	22.4756	27.6992	27.6992	29.063	29.3642	24.9027	14.0963	20.0906	14.1364	14.8114	18.2279	26.7587	28.6368	25.4879	25.4566	29.1855	27.1228	27.0864	26.8367	25.5158	25.3219	32.2152	29.3	20.7784	26.6341
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.411057	0.411478	0.359935	0.338487	0.458541	0	0	0.626488	0.325091	0.68667	0.172055	0.23239	0.219554	0.265904	0.131217	0.131217	0.609819	0.532832	0	0	0	0	0	0	0.806282	0.264477	0	0	0.317697	0	0	0.453652	0	0	0.652201	0.817572	0	0.350746
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0.31303	0.41054	0	0	0.39215	0	0	0	0	0	0.153917	0	0	0.288568	0.226074	0	0	0	0	0	0.212274	0	0	0	0.868807	0	0.541964	0	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0	0	0	0	0	0	0	0.916242	0	0	0	0	0	0	0	0	0	0	1.34385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)	1.54519	1.54678	1.30125	1.29001	1.24994	0.879846	0.879846	1.62243	1.91647	0.54005	1.69408	1.42113	1.77283	2.14965	1.64143	1.64143	1.83255	1.21735	1.67683	1.00509	0	0.516888	1.07052	1.2255	0	0.971937	2.51834	1.45181	1.0475	1.36685	1.39663	1.18146	1.50618	0.572871	1.64991	1.32144	0.739447	1.25037
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	4.02048	4.01293	7.47154	5.31842	4.87667	4.36416	4.36416	3.18892	2.24889	2.90585	3.88742	2.07006	5.59275	2.6243	1.71945	1.71945	2.08054	2.12089	1.49142	4.5063	3.19727	6.10207	3.34069	3.99192	2.71529	1.00438	2.61902	1.83342	2.50965	4.3755	2.57653	5.07206	3.90472	3.39919	0	0	1.03326	1.55037
P221-PWY: octane oxidation	6.56759	6.82597	4.77375	6.54313	6.48262	5.41652	5.41652	8.02002	6.77886	5.91249	5.67793	4.95987	5.98647	6.36384	4.49234	4.49234	8.54329	8.04888	4.63955	3.30033	5.74207	3.34992	6.18062	8.65944	6.75139	4.92532	6.93756	7.2178	6.29179	7.95822	7.08925	7.07464	11.293	7.10142	9.98953	10.4469	9.33902	10.1499
P23-PWY: reductive TCA cycle I	20.1309	20.1816	39.352	37.3064	27.1701	33.6328	33.6328	25.1964	27.74	22.779	41.1809	31.2549	36.3596	30.3884	36.6326	36.6326	30.8152	24.6381	34.5867	39.6698	31.6221	34.343	28.1925	38.1552	36.3436	37.4577	24.3618	26.9559	36.0814	30.149	30.9708	18.7237	25.5829	29.7511	30.5381	35.9228	26.3328	41.1423
P261-PWY: coenzyme M biosynthesis I	1.63584	1.63751	1.89232	1.82298	0.941663	1.34019	1.34019	0.641132	1.18008	1.82707	1.01808	1.0019	1.71714	0.832061	0.952219	0.952219	1.47034	1.31044	0.82582	1.01592	1.89253	1.20348	0.858002	0	0.759245	1.54155	0.676045	1.74145	1.57373	0.790068	0	1.02668	0.273533	1.39554	0.967977	1.66156	1.33357	1.18635
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	7.00755	7.01155	0	8.49637	2.99764	1.74398	1.74398	6.59769	0	2.02533	7.26302	3.21835	5.03598	7.6982	6.89099	6.89099	8.75407	7.12394	2.99483	2.81746	4.72302	1.89615	0	0	2.68384	4.26108	4.22571	3.66076	4.63016	2.16296	3.68451	3.15743	6.35347	3.60729	0	5.29835	0	2.34992
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	10.3364	10.347	9.86978	10.6432	9.92637	12.0523	12.0523	11.012	11.6422	11.9624	17.4343	22.8158	16.1293	13.0901	18.7459	18.7459	15.5883	11.354	17.9619	7.92044	6.79784	10.5975	4.22975	5.82155	9.77433	13.9252	14.5672	12.5331	14.2694	13.5629	17.086	15.2336	17.7792	16.9474	13.4263	17.6423	15.9061	19.8376
P42-PWY: incomplete reductive TCA cycle	36.652	36.7643	45.5657	48.5425	33.1153	36.4243	36.4243	23.5307	30.3023	26.7639	39.5666	29.4221	33.367	30.82	34.5331	34.5331	39.4771	25.3108	43.5918	44.5504	37.7177	41.1512	41.0882	35.6912	33.4386	41.926	21.4293	23.233	35.1079	28.9722	29.8349	21.1228	27.2528	33.8	37.7473	36.842	34.3934	35.222
P441-PWY: superpathway of N-acetylneuraminate degradation	1.29	1.29045	0	0	0	0	0	0	0	0.859344	1.20619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24571	0	0	0	0	0	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.753779	0.754545	1.16465	0.454685	1.03087	0	0	0.627608	0.762751	1.00794	1.48297	0.993427	0.432565	1.25006	1.70772	1.70772	1.26906	0.4396	0.9491	0	0	0	0	0	0	0	0	0.631348	1.63172	1.24803	0	0.61635	1.38248	0	1.46542	0	0	1.63329
P562-PWY: myo-inositol degradation I	0.59316	0.593771	0.426709	0.344729	0	0	0	0	0	0	0.70336	0.702791	0.77815	0	0.458527	0.458527	0.58668	0	0.583839	0.400425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P621-PWY: nylon-6 oligomer degradation	0.6176	0.618233	1.38841	1.27516	1.02125	0.944812	0.944812	1.03903	0.693565	1.41459	0.731408	1.15379	1.10529	0.647809	1.27022	1.27022	0.996631	1.79506	0.583773	0.631177	0.917412	0.543482	0.381539	0	1.3052	1.35276	0.961303	1.335	0.878137	1.86342	1.38232	1.4442	1.15387	0.848366	1.93288	1.27247	0	1.17115
PANTO-PWY: phosphopantothenate biosynthesis I	41.8334	41.8763	42.9771	48.1424	44.4233	48.9048	48.9048	40.6235	42.2741	39.1034	47.4559	29.9982	40.2147	41.4377	51.3983	51.3983	55.7958	39.4381	43.7175	40.7851	28.9996	30.3498	20.1522	30.801	34.6272	35.5741	31.0785	33.6102	41.6685	38.48	42.8562	37.9435	43.4707	32.4151	35.119	44.8456	22.6647	44.9389
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	43.6167	43.6614	40.0151	42.7764	40.3094	35.6135	35.6135	35.3607	34.4719	37.9259	35.4455	27.1365	34.8428	38.0759	30.8727	30.8727	35.8798	33.7786	34.1147	30.7949	30.9162	28.6954	23.3787	29.3772	30.1342	32.7642	29.8873	29.514	35.1208	32.4253	37.9051	32.4754	34.6917	35.1749	31.628	34.8703	24.9628	31.5496
PENTOSE-P-PWY: pentose phosphate pathway	74.0014	73.9648	74.122	75.1283	75.0964	73.7223	73.7223	75.282	69.7525	74.2032	86.1029	69.8797	78.3234	73.4752	75.2755	75.2755	84.7402	71.9691	72.9518	68.1064	67.2658	64.9592	59.1701	70.3052	74.5962	75.5437	75.3403	74.8733	83.1429	74.3458	81.431	78.4595	80.0095	78.5732	81.0679	82.1123	65.8704	78.4624
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	61.1378	61.2003	54.7105	62.6798	59.8392	53.6787	53.6787	48.7382	50.4288	53.5219	56.4284	42.1558	52.7413	54.4087	51.6765	51.6765	61.6873	50.4055	47.9298	48.0686	47.79	48.4799	46.3876	43.9829	47.0893	55.7466	42.617	42.2789	54.1507	50.3929	51.7916	50.2838	54.8243	50.3075	50.5634	56.7231	39.744	54.0462
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	17.4232	17.4411	9.22679	12.468	12.6484	13.6831	13.6831	11.7108	11.2677	10.7867	15.1859	10.8614	10.7249	12.5911	15.3408	15.3408	19.6069	17.8886	13.2879	5.44791	8.05897	4.53248	7.29977	7.18699	12.3725	13.2411	11.9721	13.0625	12.8192	10.7571	12.2216	9.21783	13.3992	7.42099	15.5815	13.5324	6.11777	13.3711
PHOTOALL-PWY: oxygenic photosynthesis	6.02689	6.03513	1.2307	1.37875	1.85746	0.973617	0.973617	1.36486	1.68068	1.62	0.283268	0.402559	0.527873	0.85451	1.02481	1.02481	1.50466	1.77364	1.40948	0.3454	0.176608	0	0.572975	0.511485	0.45909	0.498126	0.965332	0.473413	0	0	0.152089	0.228056	0.249458	0	0.568137	0	0.542028	0.395058
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	5.35076	5.35624	3.36415	4.3866	8.70231	1.2046	1.2046	3.48568	2.12148	4.5732	3.3559	1.8579	3.61624	6.90583	1.86111	1.86111	3.76525	4.34744	0.420769	3.39253	6.78903	4.77592	3.54291	4.23252	3.35008	2.06388	4.81035	3.84611	2.67003	4.82829	6.27538	6.34416	4.82803	3.83025	2.00224	4.44231	1.48051	1.70371
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	14.9242	14.9395	12.0104	13.208	13.0891	12.1034	12.1034	13.1895	12.5971	13.7645	12.8341	8.49625	10.2566	13.716	10.385	10.385	16.1674	12.1932	12.1135	11.9301	10.9788	10.2174	9.03115	12.3862	10.3392	14.0939	12.9461	13.1322	13.1944	11.7474	15.1485	10.4372	13.2493	11.1343	13.9494	14.2723	11.6919	11.2273
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	8.95776	8.96695	10.8259	10.0302	9.93034	10.0418	10.0418	9.29721	10.0504	8.78854	10.9772	10.7277	10.6673	9.67163	10.7068	10.7068	11.4266	8.87731	12.623	8.77609	7.78106	9.29821	7.15657	7.24206	10.5049	11.4899	7.01042	7.27407	9.24063	10.3935	11.6335	10.2462	10.7785	9.11223	10.0783	10.2777	7.7796	11.2502
PPGPPMET-PWY: ppGpp metabolism	3.3021	3.66892	2.20071	3.52677	4.54255	3.18702	3.18702	2.72082	1.79126	2.70227	1.66716	1.81467	2.52747	2.76745	3.11103	3.11103	3.00283	2.8109	2.50503	1.87165	3.11761	2.47279	3.85294	2.26768	5.70274	2.81698	2.91702	4.11778	5.05006	3.77355	4.15002	2.71915	2.99231	3.27803	4.91102	3.35065	1.05962	3.77471
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	5.13914	5.14441	2.92608	3.46021	4.5264	3.21222	3.21222	2.90493	3.81855	3.48071	4.05162	1.87568	3.52994	2.86471	2.39587	2.39587	3.93573	2.56913	2.22039	2.74441	2.5649	2.3362	3.96959	0.857812	1.91913	3.80591	2.08832	2.62252	4.64461	3.02729	3.57312	2.56667	2.83306	3.98897	1.75133	2.54734	0.784862	2.9835
PWY-101: photosynthesis light reactions	16.6483	16.6653	4.24624	3.53314	4.85619	2.15467	2.15467	4.70669	5.34915	5.45967	1.3557	2.56494	3.25125	4.12628	5.44922	5.44922	7.21094	9.58438	5.59773	1.70771	1.71758	0.417438	1.89043	1.73571	1.68118	1.92313	2.5821	1.76898	0.836446	0.993036	1.47547	1.28603	0.333129	1.78012	1.99285	1.03547	1.92176	4.03626
PWY-1042: glycolysis IV	72.9189	72.7538	64.4344	72.8309	67.9757	65.048	65.048	63.9281	56.5446	65.8482	67.6074	59.0865	62.9723	66.3777	62.794	62.794	72.6155	58.7375	63.5451	56.6859	59.3604	58.2616	55.8093	58.9199	57.0352	65.0474	54.3122	53.9912	61.8779	61.9132	65.2971	61.7634	63.4774	63.52	63.433	66.2093	51.0539	63.7627
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	19.2559	19.2756	14.8815	17.2047	19.3127	17.9703	17.9703	16.0275	17.7545	17.5858	21.7362	16.8768	20.2678	18.9891	21.4976	21.4976	24.7475	17.049	21.0194	15.2551	12.9727	17.1807	9.33036	18.3725	13.9936	17.0729	14.3758	15.442	19.3747	19.541	19.8536	18.1888	20.689	19.7133	21.8256	23.1861	17.6386	25.1823
PWY-1361: benzoyl-CoA degradation I (aerobic)	6.80778	6.81486	7.6625	9.39607	7.96286	8.08853	8.08853	6.54853	7.45651	6.34148	9.97978	7.33623	9.24799	7.10962	7.53618	7.53618	9.09401	6.86119	6.14118	7.87514	6.53553	7.35541	8.1258	8.20515	8.46667	9.23439	8.41001	6.46299	9.56441	8.55337	9.09127	7.24139	11.3214	8.82548	8.09368	8.58976	7.23749	6.16619
PWY-1501: mandelate degradation I	0.493463	0.493969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	2.60969	2.61237	2.44331	2.68646	2.80787	2.07898	2.07898	2.94382	3.826	1.63885	3.51916	0.581094	1.91947	3.2695	1.97514	1.97514	4.23503	2.34796	2.17189	1.72517	1.90068	0	0	1.21851	3.5166	1.47555	2.00106	4.24767	2.32359	2.35556	2.59169	1.90604	3.72993	1.3617	2.24084	2.06609	1.60105	1.83778
PWY-181: photorespiration	4.48638	4.491	2.57673	3.95581	4.35651	0	0	0	0	0	0	0	1.7202	3.9941	0.935259	0.935259	2.04499	0	0	0	3.33365	0	0	0	0	0	0	0	0	0	6.54325	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	1.45344	1.45489	0.500724	0.890308	0	0.742938	0.742938	0	0	0	0.718657	0	0	0	0	0	0.335552	0	0	0	1.35928	0.696479	0	0.960684	0	0	2.33437	0.348707	0.768582	0.654592	1.21387	0	0	1.61622	1.75755	0	0	0
PWY-1882: superpathway of C1 compounds oxidation to CO2	3.31157	3.31497	3.83428	3.54712	3.6816	3.10205	3.10205	2.19347	2.8145	2.9211	3.48606	0	3.69579	2.71158	2.80857	2.80857	3.19367	1.9551	1.86233	3.15594	3.8574	0	2.50004	2.49192	2.82384	2.28059	0	4.45626	2.14105	0.301515	2.32171	3.15287	3.22896	1.28775	0	4.08752	2.77635	3.58076
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	1.81451	1.81611	0.709495	0.826933	1.72981	2.16073	2.16073	1.73215	1.10709	1.0722	1.35833	0	0.782217	0.771947	2.16663	2.16663	3.61352	0	3.61253	0	0	0	0	0	0	0	0.908557	2.39508	4.34536	0	4.56066	1.53596	0	1.99164	1.75189	1.53171	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	36.9647	37.0026	29.7862	33.202	33.533	28.3944	28.3944	28.1186	29.4587	31.7212	34.2764	24.4797	31.0561	30.4455	33.7667	33.7667	37.9559	30.0599	30.0728	27.6228	28.9419	30.2356	22.6624	26.8869	29.0288	27.0592	30.995	27.1098	28.2682	29.4406	34.9812	28.3142	28.6656	28.8643	34.918	30.2984	24.9822	32.0657
PWY-2941: L-lysine biosynthesis II	1.69687	1.69861	1.50206	3.39577	9.66246	4.51015	4.51015	3.86903	2.22792	2.25952	3.0732	1.82345	1.20131	4.94873	2.22831	2.22831	2.17642	1.72496	4.43262	1.02006	3.66924	2.89084	4.59205	2.07418	3.94913	2.10813	3.24666	3.88625	3.33482	0.750863	4.95066	0	1.29379	2.70557	2.48862	0	2.25917	1.68132
PWY-2942: L-lysine biosynthesis III	71.1865	71.2917	66.9534	69.0993	68.328	62.7315	62.7315	64.2575	64.9496	64.8386	67.8453	42.0166	58.7634	64.4271	56.8554	56.8554	66.1643	59.0842	56.8119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3001: superpathway of L-isoleucine biosynthesis I	79.9693	79.3735	74.2677	81.5089	72.7446	71.4206	71.4206	67.1137	68.0903	67.1035	75.9969	51.3456	65.3351	70.5199	58.8719	58.8719	75.1187	63.362	60.6369	66.102	68.211	68.4265	65.3988	71.2384	72.9601	76.7631	66.1873	69.2256	70.4187	70.6778	68.9693	64.7759	72.2042	70.6291	66.8497	68.5653	49.1864	63.5992
PWY-3661: glycine betaine degradation I	0	0	0	0.129843	0.420129	0	0	0	0	0	0.0998452	0	0.443631	0	0	0	0.338309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	23.2942	23.2938	7.53358	8.02637	10.7596	7.10094	7.10094	23.6812	8.74599	23.8888	8.92122	12.7517	11.5892	21.574	9.10133	9.10133	24.4867	25.4433	11.7982	6.73584	7.15063	6.20649	4.61011	6.60118	5.97846	5.66764	10.4861	7.36386	7.06515	8.3411	6.81091	5.22886	6.05356	3.25871	5.81875	6.82667	6.60765	5.65991
PWY-3801: sucrose degradation II (sucrose synthase)	5.20953	5.19805	5.54941	4.29241	3.9891	6.12335	6.12335	7.03428	3.91865	2.43206	7.1887	6.50673	7.75265	5.30034	4.71317	4.71317	6.9963	4.88748	8.35382	0	3.80171	0	0	2.82215	5.14454	0	0	5.32634	0	0	9.11798	7.1372	0	11.3797	0	0	0	7.95038
PWY-3841: folate transformations II (plants)	73.1195	72.9028	60.8634	72.8964	67.6838	72.8868	72.8868	63.3515	69.0617	63.3147	79.0836	55.535	71.8362	69.3026	68.1647	68.1647	84.7939	59.3238	62.1563	58.3413	59.9986	53.4907	53.277	54.4353	63.1457	64.9459	56.5912	58.7822	66.8496	63.7367	74.5974	64.8037	67.0459	62.5989	69.9715	68.5929	48.9392	67.1381
"PWY-3941: &beta;-alanine biosynthesis II"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.977396	0.977396	0	1.06116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle	52.4861	52.5425	53.9195	63.0983	49.3873	61.2247	61.2247	47.5028	54.372	51.8571	64.9195	49.1453	58.5435	55.8327	58.2832	58.2832	68.7745	52.6329	55.5824	55.3261	44.3675	57.6198	49.1279	56.9964	52.1599	61.8081	42.0001	42.2614	57.5135	47.7559	52.9992	50.2629	58.8622	46.9998	57.7166	69.6626	40.6409	67.1371
PWY-5022: 4-aminobutanoate degradation V	0	0	0	0.93473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5028: L-histidine degradation II	0	0	1.17415	0.58337	1.68979	0	0	1.03981	0.727201	2.46417	0.89186	0.929845	0	1.38568	0.720323	0.720323	1.5853	1.96933	1.14111	0	0	0	0	0	0.842935	0	2.59648	1.28853	0	0	0	1.79058	0	2.1162	0	0	0	0
PWY-5030: L-histidine degradation III	3.37498	3.37844	1.62715	1.74909	4.10827	1.17932	1.17932	2.2774	2.48038	0	1.04315	0	1.06498	2.01495	0.826591	0.826591	1.80921	1.51819	1.62135	0	2.52959	2.50352	1.30532	0	0	0	0	0	1.43671	2.23454	2.62719	0	0	0	0	1.6126	0	0
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	61.2968	61.3699	55.0486	61.956	61.2597	53.1159	53.1159	55.4405	52.8189	55.0774	56.7502	29.8689	50.265	52.2316	44.1371	44.1371	57.1382	50.2545	49.957	43.48	52.4775	45.3041	49.1544	39.211	54.5791	57.5463	44.6665	47.4047	53.0627	50.8635	61.6364	48.2333	52.3442	55.8954	55.3619	51.576	38.3572	53.1879
